Time(s),Torque,signal_0,signal_1,signal_2
2.95,0.017094018,-1.0,-0.1,21.8
2.95,0.017094018,-1.0,-0.1,21.8
2.95,0.017094018,-1.0,-0.1,21.8
2.95,0.012210012,-1.0,-0.1,21.8
2.95,0.0024420025,-1.0,-0.1,21.8
2.95,0.0024420025,-1.0,-0.1,21.8
2.95,-0.0073260074,-1.0,-0.1,21.8
2.96,-0.0073260074,-1.0,-0.1,21.8
2.96,-0.012210012,-1.0,-0.1,21.8
2.96,-0.012210012,-1.0,-0.1,21.700000000000003
2.96,-0.012210012,-1.0,-0.1,21.700000000000003
2.96,-0.017094018,-1.0,-0.1,21.700000000000003
2.96,-0.017094018,-1.0,-0.1,21.700000000000003
2.96,-0.021978023,-1.0,-0.1,21.700000000000003
2.96,-0.021978023,-1.0,-0.1,21.700000000000003
2.97,-0.017094018,-1.0,-0.1,21.700000000000003
2.97,-0.021978023,-1.0,-0.1,21.700000000000003
2.97,-0.017094018,-1.0,-0.1,21.700000000000003
2.97,-0.017094018,-1.0,-0.1,21.700000000000003
2.97,-0.017094018,-1.0,-0.1,21.700000000000003
2.97,-0.017094018,-1.0,-0.1,21.700000000000003
2.97,-0.012210012,-1.0,-0.1,21.700000000000003
2.97,-0.0073260074,-1.0,-0.1,21.700000000000003
2.98,-0.0073260074,-1.0,-0.1,21.700000000000003
2.98,-0.0073260074,-1.0,-0.1,21.700000000000003
2.98,-0.0073260074,-1.0,-0.1,21.700000000000003
2.98,0.0024420025,-1.0,-0.1,21.700000000000003
2.98,0.0024420025,-1.0,-0.1,21.700000000000003
2.98,0.0024420025,-1.0,-0.1,21.700000000000003
2.98,0.0073260074,-1.0,-0.1,21.700000000000003
2.98,0.012210012,-1.0,-0.1,21.700000000000003
2.99,0.012210012,-1.0,-0.1,21.700000000000003
2.99,0.017094018,-1.0,-0.1,21.700000000000003
2.99,0.026862027,-1.0,-0.1,21.700000000000003
2.99,0.026862027,-1.0,-0.1,21.700000000000003
2.99,0.03663004,-1.0,-0.1,21.700000000000003
2.99,0.031746034,-1.0,-0.1,21.700000000000003
2.99,0.03663004,-1.0,-0.1,21.700000000000003
2.99,0.041514043,-1.0,-0.1,21.700000000000003
3.0,0.041514043,-1.0,-0.1,21.700000000000003
3.0,0.046398047,-1.0,-0.1,21.700000000000003
3.0,0.051282052,-1.0,-0.1,21.700000000000003
3.0,0.051282052,-1.0,-0.1,21.700000000000003
3.0,0.051282052,-1.0,-0.1,21.700000000000003
3.0,0.051282052,-1.0,-0.1,21.700000000000003
3.0,0.056166057,-1.0,-0.1,21.700000000000003
3.0,0.06105006,-1.0,-0.1,21.700000000000003
3.0,0.070818074,-1.0,-0.1,21.700000000000003
3.0,0.07570208,-1.0,-0.1,21.700000000000003
3.01,0.08058608,-1.0,-0.1,21.700000000000003
3.01,0.08058608,-1.0,-0.1,21.700000000000003
3.01,0.08547009,-1.0,-0.1,21.700000000000003
3.01,0.09035409,-1.0,-0.1,21.700000000000003
3.01,0.0952381,-1.0,-0.1,21.700000000000003
3.01,0.0952381,-1.0,-0.1,21.700000000000003
3.01,0.1001221,-1.0,-0.1,21.700000000000003
3.01,0.105006106,-1.0,-0.1,21.700000000000003
3.01,0.105006106,-1.0,-0.1,21.700000000000003
3.02,0.105006106,-1.0,-0.1,21.700000000000003
3.02,0.10989011,-1.0,-0.1,21.700000000000003
3.02,0.10989011,-1.0,-0.1,21.700000000000003
3.02,0.114774115,-1.0,-0.1,21.700000000000003
3.02,0.11965812,-1.0,-0.1,21.700000000000003
3.02,0.124542125,-1.0,-0.1,21.700000000000003
3.02,0.114774115,-1.0,-0.1,21.700000000000003
3.02,0.124542125,-1.0,-0.1,21.700000000000003
3.02,0.124542125,-1.0,-0.1,21.700000000000003
3.02,0.124542125,-1.0,-0.1,21.700000000000003
3.02,0.124542125,-1.0,-0.1,21.700000000000003
3.03,0.12942614,-1.0,-0.1,21.700000000000003
3.03,0.13431014,-1.0,-0.1,21.700000000000003
3.03,0.13431014,-1.0,-0.1,21.700000000000003
3.03,0.12942614,-1.0,-0.1,21.700000000000003
3.03,0.13431014,-1.0,-0.1,21.700000000000003
3.03,0.13431014,-1.0,-0.1,21.700000000000003
3.03,0.13919415,-1.0,-0.1,21.700000000000003
3.03,0.13919415,-1.0,-0.1,21.700000000000003
